0850,117
0905,99
0910,105
0912,106
0913,110
0916,76
0928,98
0929,136
0952,136
0952,136
0959,107
1008,90
1014,109
1017,133
1020,107
1021,86
1034,104
1044,95
1050,91
1053,82
1054,104
1100,92
1112,101
1117,91
1119,97
1122,110
1134,145
1135,97
1138,104
1146,105
1148,131
1157,123
1201,105
1239,107
1241,142
1306,91
1308,134
1310,106
1313,80
1315,108
1327,104
1328,133
1339,158
1352,123
1356,158
1359,113
1410,139
1412,105
1428,141
1443,117
1459,135
1502,101
1535,101
1538,75
1542,139
1547,101
1614,82
1624,138
1630,104
1635,75
1649,106
1658,77
1700,71
1702,116
1719,104
1725,126
1737,84
1738,135
1757,107
1758,117
1801,120
